1,"牛肉麵"
2,"蝦捲"
3,"壽司"
4,"飯糰"
5,"碗粿"
6,"可樂"
7,"漢堡"
8,"牛排"
9,"香雞排"
10,"臭豆腐"
11,"優格"
12,"蘋果"
13,"橘子"
14,"芋圓"
15,"牛角麵包"
16,"水晶餃"
17,"鍋貼"
18,"三明治"
19,"鬆餅"
20,"冰淇淋"
21,"冰炫風"
22,"蘿菠糕"
23,"冰滷味"
24,"科學麵"
25,"鱈魚香絲"
26,"棒棒糖"
27,"白開水"
28,"香檳"
29,"18天啤酒"
30,"紅酒"
31,"白酒"
32,"高粱酒"
33,"威士忌"
34,"剝皮辣椒雞"
35,"關東煮"
36,"茶葉蛋"
37,"大腸麵線"
38,"大腸包小腸"
39,"芭樂"
40,"鍋燒意麵"
41,"披薩"
42,"麻辣火鍋"
43,"燙青菜"
44,"滷味"
45,"福隆便當"
46,"飯後甜點"
47,"蛋糕"
48,"串燒"
49,"居酒屋"
50,"小火車"
51,"小抱枕"
52,"拖鞋"
53,"布鞋"
54,"登山鞋"
55,"籃球"
56,"足球"
57,"棒球"
58,"高爾夫球"
59,"桌球"
60,"壘球"
61,"跳高"
62,"跳遠"
63,"撐竿跳"
64,"游泳"
65,"攀岩"
66,"射箭"
67,"舉重"
68,"羽球"
69,"空手道"
